,particle,x,y,actual_size,usable,size,video
0,0,1252.771643,51.12286795,17,1,15.18348995,20%glys_10%part90%sol1
1,1,1552.671429,1829.953579,0,0,18.51957487,20%glys_10%part90%sol1
2,3,410.8611697,1809.957977,14,1,13.68857455,20%glys_10%part90%sol1
3,4,1297.984346,1606.440136,0,0,18.75474498,20%glys_10%part90%sol1
4,5,2495.94346,1519.426401,22,1,21.151151,20%glys_10%part90%sol1
5,7,2263.710936,1126.693155,16,1,10.81700376,20%glys_10%part90%sol1
6,10,954.3925404,819.9133671,0,0,11.17927811,20%glys_10%part90%sol1
7,11,1379.916071,1337.753728,9.5,1,14.91695135,20%glys_10%part90%sol1
8,20,1927.95737,161.6978521,15,1,13.95913034,20%glys_10%part90%sol1
9,21,2365.54031,783.7247425,13.5,1,16.12939993,20%glys_10%part90%sol1
