,particle,x,y,usable,actual_size,size,video
0,0,162.2332896,183.8640292,1,8,10.21521655,27.9 deg
1,1,2342.055048,1828.060327,1,6,12.26167605,27.9 deg
2,2,2026.655343,1610.029524,1,6.5,10.05602516,27.9 deg
3,3,985.8754465,1585.000139,0,0,19.02468682,27.9 deg
4,5,2376.525936,1229.689789,0,0,19.08280748,27.9 deg
5,6,272.2547551,1021.499142,0,0,12.91313596,27.9 deg
6,8,1376.156363,981.693909,1,7.5,11.27430512,27.9 deg
7,9,471.4613958,969.2469145,1,16.5,12.90884182,27.9 deg
8,12,1183.482577,890.705907,0,0,11.21084991,27.9 deg
9,14,832.6084109,255.0720456,1,13,12.52160653,27.9 deg
10,16,394.5378873,607.3550575,0,0,13.97734982,27.9 deg
11,19,153.9338416,797.0213683,1,10.5,11.99641436,27.9 deg
12,20,39.71258384,867.8774506,0,0,12.72573249,27.9 deg
13,21,1589.701729,885.0877386,1,7.5,10.99091655,27.9 deg
14,22,2230.150353,750.9024967,1,8.5,10.15700483,27.9 deg
