,particle,x,y,actual_size,usable,size,video
10,22,2122.714139,843.1961834,8,1,10.00405344,33 deg
0,0,98.51892512,87.36848441,8,1,10.05482071,33 deg
5,10,1255.071584,953.6909638,0,0,10.83399,33 deg
11,23,1596.261909,849.6992288,8.5,1,11.23329898,33 deg
9,21,154.8261705,832.3146854,10.5,1,11.61034823,33 deg
7,14,1181.074762,883.5082458,0,0,11.85355103,33 deg
4,7,270.1634314,1015.877874,0,0,12.31078368,33 deg
12,24,542.1418521,800.4244078,0,0,12.46793446,33 deg
8,15,802.8449364,234.8229174,12,1,12.71307301,33 deg
3,6,1769.474341,1089.847404,0,0,12.88926774,33 deg
6,11,445.8791647,928.347452,16.5,1,12.99796845,33 deg
1,2,985.1935382,1579.121528,0,0,18.86172119,33 deg
2,5,2321.677752,1209.794344,0,0,19.08079222,33 deg
